intersection,date,actual_sales,Country,Store,Division,Category,Product,forecast_es,forecast_sarima
40_4,2010-07-02,29461.56,Canada,40,C,C_2,4,28675.724935033235,23567.51622276755
40_4,2010-07-09,26173.4,Canada,40,C,C_2,4,28360.93939380359,27877.95503033575
40_4,2010-07-16,25722.38,Canada,40,C,C_2,4,25518.596541671144,26631.377904326586
40_4,2010-07-23,26797.59,Canada,40,C,C_2,4,25168.06994644896,25966.608521726754
40_4,2010-07-30,25706.3,Canada,40,C,C_2,4,25765.26686357565,26574.32284277668
40_4,2010-08-06,29667.02,Canada,40,C,C_2,4,29650.201121228376,25939.519388853714
40_4,2010-08-13,24876.87,Canada,40,C,C_2,4,24878.719650668343,28665.519380842827
40_4,2010-08-20,24946.77,Canada,40,C,C_2,4,24936.969700029284,25894.800000960262
40_4,2010-08-27,25633.3,Canada,40,C,C_2,4,25594.42758998616,25201.485620998807
40_4,2010-09-03,26314.71,Canada,40,C,C_2,4,26256.633250240386,25517.280604419637
40_4,2010-09-10,26862.59,Canada,40,C,C_2,4,26825.806722310626,26100.457578144033
40_4,2010-09-17,24092.8,Canada,40,C,C_2,4,24067.697314388566,26657.821128846444
40_4,2010-09-24,22841.26,Canada,40,C,C_2,4,22813.172972869335,24781.966955736974
40_4,2010-10-01,23983.73,Canada,40,C,C_2,4,23967.314598810994,23362.6869347029
40_4,2010-10-08,24510.55,Canada,40,C,C_2,4,24494.35702035487,23816.868856487836
40_4,2010-10-15,22681.74,Canada,40,C,C_2,4,22643.90762499032,24324.17254035646
40_4,2010-10-22,22125.99,Canada,40,C,C_2,4,22088.2267909827,23123.02690446693
40_4,2010-10-29,21633.53,Canada,40,C,C_2,4,21596.58394565161,22393.87274002163
40_4,2010-11-05,23719.13,Canada,40,C,C_2,4,23661.02868961606,21837.818021476472
40_4,2010-11-12,23915.41,Canada,40,C,C_2,4,23828.366513556648,23213.661240133068
40_4,2010-11-19,21333.08,Canada,40,C,C_2,4,21235.01035701725,23726.864942382083
40_4,2010-11-26,24478.78,Canada,40,C,C_2,4,24346.212149282863,21976.239412169125
40_4,2010-12-03,23326.81,Canada,40,C,C_2,4,23186.560739318742,23806.40024486753
40_4,2010-12-10,22922.74,Canada,40,C,C_2,4,22771.315141695606,23455.665760811928
40_4,2010-12-17,21521.68,Canada,40,C,C_2,4,21368.013071587477,23065.925886495163
40_4,2010-12-24,25876.14,Canada,40,C,C_2,4,25705.862461787896,21936.586226126765
40_4,2010-12-31,22467.31,Canada,40,C,C_2,4,22264.175244206468,24817.66517857697
40_4,2011-01-07,24691.51,Canada,40,C,C_2,4,24492.21534852741,23098.80075268972
40_4,2011-01-14,21980.89,Canada,40,C,C_2,4,21750.38713680397,24263.582693281714
40_4,2011-01-21,21182.7,Canada,40,C,C_2,4,20970.037333476615,22594.201273197577
40_4,2011-01-28,20532.44,Canada,40,C,C_2,4,20319.636305706914,22030.92891364697
40_4,2011-02-04,23147.61,Canada,40,C,C_2,4,22952.388017719433,38197.93575496163
40_4,2011-02-11,20613.39,Canada,40,C,C_2,4,20407.347184551,25731.82115570321
40_4,2011-02-18,22119.35,Canada,40,C,C_2,4,21865.638620281035,22598.732094280607
40_4,2011-02-25,21892.4,Canada,40,C,C_2,4,21626.67084129531,21253.865129507518
40_4,2011-03-04,23829.76,Canada,40,C,C_2,4,23583.06985188035,25989.971955875015
40_4,2011-03-11,20974.85,Canada,40,C,C_2,4,20744.665938869774,21566.96080928913
40_4,2011-03-18,20445.01,Canada,40,C,C_2,4,20197.778180093563,20674.682852440492
40_4,2011-03-25,21231.59,Canada,40,C,C_2,4,20960.444804650004,21014.5728346144
40_4,2011-04-01,22285.61,Canada,40,C,C_2,4,22024.235767860053,22990.1974037696
40_4,2011-04-08,23063.69,Canada,40,C,C_2,4,22775.564745548534,20221.70325865221
40_4,2011-04-15,20623.18,Canada,40,C,C_2,4,20300.294596773165,22802.823441612818
40_4,2011-04-22,21845.42,Canada,40,C,C_2,4,21508.73858457223,21182.543696212986
40_4,2011-04-29,20070.98,Canada,40,C,C_2,4,19742.648260333463,20537.829558331337
40_4,2011-05-06,26139.35,Canada,40,C,C_2,4,25793.360460752392,23567.37900405626
40_4,2011-05-13,22904.63,Canada,40,C,C_2,4,22580.06427072032,23778.82293677611
40_4,2011-05-20,23325.25,Canada,40,C,C_2,4,23008.451403303294,22944.66306697307
40_4,2011-05-27,24160.87,Canada,40,C,C_2,4,23876.76341161476,23781.029938584452
40_4,2011-06-03,27091.65,Canada,40,C,C_2,4,26841.8003709563,26680.892372194136
40_4,2011-06-10,25650.16,Canada,40,C,C_2,4,25407.22459343988,26019.30430692029
40_4,2011-06-17,24287.23,Canada,40,C,C_2,4,24047.85412487551,25322.96243966118
40_4,2011-06-24,25344.33,Canada,40,C,C_2,4,25088.358904828532,23396.29692036157
40_4,2011-07-01,29244.06,Canada,40,C,C_2,4,29036.12359052083,30424.537883747733
40_4,2011-07-08,28904.93,Canada,40,C,C_2,4,28700.680833069804,26695.3416917442
40_4,2011-07-15,26273.31,Canada,40,C,C_2,4,26082.62814433044,27588.42167038957
40_4,2011-07-22,25946.62,Canada,40,C,C_2,4,25768.128450439315,27795.97208483986
40_4,2011-07-29,26456.87,Canada,40,C,C_2,4,26281.208608793175,25701.12300040856
40_4,2011-08-05,29709.39,Canada,40,C,C_2,4,30215.87384712098,29805.83597976866
40_4,2011-08-12,27360.11,Canada,40,C,C_2,4,25433.208587036588,25307.58179313709
40_4,2011-08-19,26512.66,Canada,40,C,C_2,4,25677.8805034367,26574.813411745334
40_4,2011-08-26,27182.48,Canada,40,C,C_2,4,26438.6963893352,27175.882238145346
40_4,2011-09-02,26046.42,Canada,40,C,C_2,4,27197.33962616309,27817.64711403706
40_4,2011-09-09,27988.79,Canada,40,C,C_2,4,27709.721016837855,27252.341838968354
40_4,2011-09-16,26130.16,Canada,40,C,C_2,4,25008.6570234838,25103.934255249453
40_4,2011-09-23,23803.56,Canada,40,C,C_2,4,23881.48164665516,24536.21985099706
40_4,2011-09-30,25338.69,Canada,40,C,C_2,4,25068.976909956265,25149.15613140015
40_4,2011-10-07,28446.26,Canada,40,C,C_2,4,25658.23441466294,25743.218832707244
40_4,2011-10-14,25050.33,Canada,40,C,C_2,4,24075.688389624986,25651.491686681773
40_4,2011-10-21,23355.77,Canada,40,C,C_2,4,23648.262112393357,24759.50837773661
40_4,2011-10-28,23453.91,Canada,40,C,C_2,4,23185.083466547207,23469.12810443635
40_4,2011-11-04,25352.14,Canada,40,C,C_2,4,25322.581856488992,25399.423080512588
40_4,2011-11-11,24848.39,Canada,40,C,C_2,4,25542.60722777683,25554.972525684116
40_4,2011-11-18,22588.77,Canada,40,C,C_2,4,22940.615784825775,22749.994446503588
40_4,2011-11-25,23227.83,Canada,40,C,C_2,4,26067.44739064105,25561.15887741939
40_4,2011-12-02,24346.86,Canada,40,C,C_2,4,24716.74885886505,23107.421433439737
40_4,2011-12-09,24713.42,Canada,40,C,C_2,4,24300.378862136804,23463.11830338562
40_4,2011-12-16,23198.36,Canada,40,C,C_2,4,22956.933047187773,22926.625265338214
40_4,2011-12-23,27543.69,Canada,40,C,C_2,4,27341.4212018065,27117.72044129395
40_4,2011-12-30,20958.23,Canada,40,C,C_2,4,23942.15805307815,24232.222477394906
40_4,2012-01-06,27014.15,Canada,40,C,C_2,4,25950.943887401434,24305.747116092727
40_4,2012-01-13,23009.01,Canada,40,C,C_2,4,23308.273994403477,23386.663066574343
40_4,2012-01-20,23056.3,Canada,40,C,C_2,4,22516.6954481769,22349.100174663607
40_4,2012-01-27,20443.45,Canada,40,C,C_2,4,21922.913812547948,22299.18150334961
40_4,2012-02-03,25029.74,Canada,40,C,C_2,4,24449.209051744227,24109.979514518083
40_4,2012-02-10,22612.86,Canada,40,C,C_2,4,21960.823257355914,22391.09769895341
40_4,2012-02-17,22121.79,Canada,40,C,C_2,4,23482.07418499222,23882.42759055714
40_4,2012-02-24,23275.83,Canada,40,C,C_2,4,23140.06746847806,22607.04533687606
40_4,2012-03-02,24360.53,Canada,40,C,C_2,4,25108.485837103737,24913.258552703366
40_4,2012-03-09,23528.38,Canada,40,C,C_2,4,22211.344611623015,21905.748430210526
40_4,2012-03-16,22356.97,Canada,40,C,C_2,4,21771.567477145985,22365.504688817564
40_4,2012-03-23,20848.28,Canada,40,C,C_2,4,22584.23242320588,23089.25468150995
40_4,2012-03-30,22631.97,Canada,40,C,C_2,4,23508.455503928104,22767.60307981415
40_4,2012-04-06,27642.06,Canada,40,C,C_2,4,24183.993857902435,23295.046272543826
40_4,2012-04-13,21120.38,Canada,40,C,C_2,4,21979.287555184543,23729.272705687974
40_4,2012-04-20,22677.59,Canada,40,C,C_2,4,23115.38223741709,23251.21919245567
40_4,2012-04-27,24598.59,Canada,40,C,C_2,4,21305.953845927954,21292.56711011825
40_4,2012-05-04,25907.6,Canada,40,C,C_2,4,27346.953613551726,26868.103712901597
40_4,2012-05-11,24006.47,Canada,40,C,C_2,4,24121.333960671473,23931.320906407465
40_4,2012-05-18,23310.67,Canada,40,C,C_2,4,24537.957173738072,24299.00681863677
40_4,2012-05-25,24282.47,Canada,40,C,C_2,4,25393.98907473481,25091.96023480668
40_4,2012-06-01,26287.77,Canada,40,C,C_2,4,28348.30714137879,27839.389859678235
40_4,2012-06-08,29713.53,Canada,40,C,C_2,4,26904.84346554983,26522.51665687969
40_4,2012-06-15,25058.75,Canada,40,C,C_2,4,25536.28676422581,25277.83854344527
40_4,2012-06-22,25134.64,Canada,40,C,C_2,4,26567.075238539,26199.329849034217
40_4,2012-06-29,26639.86,Canada,40,C,C_2,4,30502.880542577637,29935.03213123901
40_4,2012-07-06,31653.89,Canada,40,C,C_2,4,30158.5443421167,29530.014677071704
40_4,2012-07-13,27508.13,Canada,40,C,C_2,4,27531.168917615258,27145.29760846346
40_4,2012-07-20,26413.05,Canada,40,C,C_2,4,27207.74480560585,26888.678112497968
40_4,2012-07-27,26394.12,Canada,40,C,C_2,4,27712.24195154233,27325.109178240793
40_4,2012-08-03,30442.76,Canada,40,C,C_2,4,31637.24431057748,30372.87768585322
40_4,2012-08-10,27357.91,Canada,40,C,C_2,4,26902.953412787607,28089.27875097432
40_4,2012-08-17,27211.16,Canada,40,C,C_2,4,26996.28941950448,27310.978675694612
40_4,2012-08-24,26006.72,Canada,40,C,C_2,4,27688.931101298258,27937.55881610311
40_4,2012-08-31,27586.26,Canada,40,C,C_2,4,28382.073203135264,26950.0773452744
40_4,2012-09-07,30202.87,Canada,40,C,C_2,4,28983.83640883174,28698.24795497451
40_4,2012-09-14,25157.38,Canada,40,C,C_2,4,26259.257951822237,26910.53110204548
40_4,2012-09-21,24200.49,Canada,40,C,C_2,4,25037.019784685355,24760.23782652869
40_4,2012-09-28,23473.66,Canada,40,C,C_2,4,26224.68088574749,26172.627293031732
40_4,2012-10-05,27127.41,Canada,40,C,C_2,4,26788.32008609092,28971.516062214552
40_4,2012-10-12,25611.14,Canada,40,C,C_2,4,24970.03354752694,25848.801975227045
40_4,2012-10-19,23069.57,Canada,40,C,C_2,4,24445.234943961033,24292.232127303883
40_4,2012-10-26,23462.71,Canada,40,C,C_2,4,23986.21305436545,24365.545053731807
40_4,2012-10-28,,Canada,40,C,C_2,4,26082.420570747418,26149.60176612869
40_4,2012-11-04,,Canada,40,C,C_2,4,26279.187040077388,25706.274740235327
40_4,2012-11-11,,Canada,40,C,C_2,4,23713.77423955918,23593.075681209302
40_4,2012-11-18,,Canada,40,C,C_2,4,26848.859530433452,24275.229511909085
40_4,2012-11-25,,Canada,40,C,C_2,4,25714.975733843236,25243.443883703854
40_4,2012-12-02,,Canada,40,C,C_2,4,25322.698070900926,25548.76913857193
40_4,2012-12-09,,Canada,40,C,C_2,4,23939.9876627863,24152.828897182004
40_4,2012-12-16,,Canada,40,C,C_2,4,28297.872516400348,28201.4539594488
40_4,2012-12-23,,Canada,40,C,C_2,4,24871.14588884267,22190.148196958897
40_4,2012-12-30,,Canada,40,C,C_2,4,27118.225294495263,27671.83415450314
40_4,2013-01-06,,Canada,40,C,C_2,4,24389.56513590546,23959.51242143027
40_4,2013-01-13,,Canada,40,C,C_2,4,23621.351534010326,23905.8474303796
40_4,2013-01-20,,Canada,40,C,C_2,4,22980.844042543962,21661.332830096457
40_4,2013-01-27,,Canada,40,C,C_2,4,25626.884266910743,26312.355848679606
40_4,2013-02-03,,Canada,40,C,C_2,4,23093.826771860746,24125.300012217416
40_4,2013-02-10,,Canada,40,C,C_2,4,24560.459052589627,23721.04503327384
40_4,2013-02-17,,Canada,40,C,C_2,4,24328.785082107617,24724.25840643843
40_4,2013-02-24,,Canada,40,C,C_2,4,26288.164772633983,25876.445971084657
40_4,2013-03-03,,Canada,40,C,C_2,4,23456.380506194157,24982.430380695245
40_4,2013-03-10,,Canada,40,C,C_2,4,22913.783682071342,23900.327145133615
40_4,2013-03-17,,Canada,40,C,C_2,4,23676.944839278272,22593.442005097448
40_4,2013-03-24,,Canada,40,C,C_2,4,24741.640446851125,24263.35442267627
40_4,2013-03-31,,Canada,40,C,C_2,4,25497.312161658512,28647.556926425168
40_4,2013-04-07,,Canada,40,C,C_2,4,23014.490907251144,22834.49705967592
40_4,2013-04-14,,Canada,40,C,C_2,4,24216.81807537929,24223.375556116574
10_5,2010-02-05,75297.91,USA,10,C,C_5,5,63070.00799589831,0.0
10_5,2010-02-12,74064.19,USA,10,C,C_5,5,78528.5352481706,45444.421389449184
10_5,2010-02-19,59974.12,USA,10,C,C_5,5,72794.6642580236,60570.20877989821
10_5,2010-02-26,56750.43,USA,10,C,C_5,5,61418.716556943575,60265.47652007193
10_5,2010-03-05,62991.98,USA,10,C,C_5,5,65145.002533000734,58483.1581722622
10_5,2010-03-12,77866.56,USA,10,C,C_5,5,49756.439255443904,60764.80092434415
10_5,2010-03-19,65958.62,USA,10,C,C_5,5,65012.55969400184,69414.73501076695
10_5,2010-03-26,107445.17,USA,10,C,C_5,5,63812.15999966867,67666.86849389509
10_5,2010-04-02,88914.18,USA,10,C,C_5,5,103541.03580780861,87783.42410187074
10_5,2010-04-09,70232.42,USA,10,C,C_5,5,90590.92529766154,88355.2622813603
10_5,2010-04-16,43362.27,USA,10,C,C_5,5,84788.30384173225,79190.31777037731
10_5,2010-04-23,72058.29,USA,10,C,C_5,5,54046.62243384966,61071.640538277774
10_5,2010-04-30,71695.0,USA,10,C,C_5,5,55649.33996974065,66627.7215173341
10_5,2010-05-07,58111.11,USA,10,C,C_5,5,61710.53176640963,69190.30522176927
10_5,2010-05-14,50173.4,USA,10,C,C_5,5,50361.48278636842,63587.42291438581
10_5,2010-05-21,44269.77,USA,10,C,C_5,5,53762.59505779666,56803.790164955055
10_5,2010-05-28,46470.52,USA,10,C,C_5,5,49380.611161889996,50465.18539410111
10_5,2010-06-04,72205.52,USA,10,C,C_5,5,44274.119189243815,48445.03505211315
10_5,2010-06-11,55807.88,USA,10,C,C_5,5,71216.43293451512,60460.998107014806
10_5,2010-06-18,59728.6,USA,10,C,C_5,5,61523.88408124887,58107.8603075839
10_5,2010-06-25,47864.95,USA,10,C,C_5,5,55533.25420985254,58927.48786603928
10_5,2010-07-02,52988.05,USA,10,C,C_5,5,52436.83849043143,53333.02939507854
10_5,2010-07-09,45590.23,USA,10,C,C_5,5,46477.56966664563,53158.56916520417
10_5,2010-07-16,45290.09,USA,10,C,C_5,5,43300.66587538426,49331.16900923659
10_5,2010-07-23,44139.12,USA,10,C,C_5,5,49331.01740062099,47287.546743820785
10_5,2010-07-30,47763.56,USA,10,C,C_5,5,39964.138856797195,45695.34946680741
10_5,2010-08-06,50567.89,USA,10,C,C_5,5,50457.315181212136,46741.268412103746
10_5,2010-08-13,44400.33,USA,10,C,C_5,5,44344.82868205615,48676.436979823084
10_5,2010-08-20,40494.25,USA,10,C,C_5,5,40263.0411974351,46513.95824251258
10_5,2010-08-27,40316.99,USA,10,C,C_5,5,39909.61195581088,43469.71937274858
10_5,2010-09-03,38887.81,USA,10,C,C_5,5,38407.317750732625,41875.34620452962
10_5,2010-09-10,40913.56,USA,10,C,C_5,5,40675.69963843832,40364.513208600154
10_5,2010-09-17,46395.04,USA,10,C,C_5,5,46429.04927783835,40642.17277553648
10_5,2010-09-24,44171.1,USA,10,C,C_5,5,44624.88651190102,43551.46693262236
10_5,2010-10-01,57195.49,USA,10,C,C_5,5,57920.07653526778,43864.82282840823
10_5,2010-10-08,54949.05,USA,10,C,C_5,5,55331.04976293977,50606.30157268501
10_5,2010-10-15,52206.49,USA,10,C,C_5,5,51987.26929844463,52802.48169162728
10_5,2010-10-22,47913.97,USA,10,C,C_5,5,47459.450690984006,52501.08152394225
10_5,2010-10-29,38374.84,USA,10,C,C_5,5,38233.43051791853,50181.32404757348
10_5,2010-11-05,62690.21,USA,10,C,C_5,5,62652.26083880906,44210.64304362663
10_5,2010-11-12,62657.61,USA,10,C,C_5,5,62568.731348841415,53555.98234557221
10_5,2010-11-19,63648.46,USA,10,C,C_5,5,63452.93704630374,58158.784934583266
10_5,2010-11-26,183294.86,USA,10,C,C_5,5,182965.6913790999,60934.97965088081
10_5,2010-12-03,89737.04,USA,10,C,C_5,5,89635.05987656229,122813.84301967901
10_5,2010-12-10,134269.26,USA,10,C,C_5,5,134281.7074028781,106086.50584926394
10_5,2010-12-17,186875.35,USA,10,C,C_5,5,186728.65307667563,120338.86363577083
10_5,2010-12-24,259955.82,USA,10,C,C_5,5,259737.46384990454,153987.16516258477
10_5,2010-12-31,69231.19,USA,10,C,C_5,5,68965.09996726704,207576.7886188237
10_5,2011-01-07,49255.31,USA,10,C,C_5,5,48993.28320597717,137613.75522762263
10_5,2011-01-14,46074.44,USA,10,C,C_5,5,45820.01347179279,92929.82660559817
10_5,2011-01-21,43718.95,USA,10,C,C_5,5,43427.60242267882,69234.49397216045
10_5,2011-01-28,52026.64,USA,10,C,C_5,5,51753.02519370126,68159.44759160343
10_5,2011-02-04,55377.61,USA,10,C,C_5,5,55155.17374975316,109347.69471033715
10_5,2011-02-11,61898.2,USA,10,C,C_5,5,61638.004312724945,80722.79271847362
10_5,2011-02-18,59774.06,USA,10,C,C_5,5,59435.303397788724,61805.02873155828
10_5,2011-02-25,58293.76,USA,10,C,C_5,5,57898.14331910982,58638.75216991096
10_5,2011-03-04,65772.76,USA,10,C,C_5,5,65411.72202222258,62630.7564170539
10_5,2011-03-11,52259.93,USA,10,C,C_5,5,51907.40674719581,74131.22072654688
10_5,2011-03-18,46838.32,USA,10,C,C_5,5,46411.89323060849,55187.55761344319
10_5,2011-03-25,45320.74,USA,10,C,C_5,5,44827.18389600757,78605.85170890353
10_5,2011-04-01,52650.5,USA,10,C,C_5,5,52300.114989250906,49476.82050487953
10_5,2011-04-08,50842.59,USA,10,C,C_5,5,50542.66143397546,38620.36547715797
10_5,2011-04-15,60626.22,USA,10,C,C_5,5,60179.39936417714,26880.92814096762
10_5,2011-04-22,61353.17,USA,10,C,C_5,5,60746.037270160006,62999.84995913489
10_5,2011-04-29,50220.12,USA,10,C,C_5,5,49339.78424792865,61923.76051318225
10_5,2011-05-06,44869.48,USA,10,C,C_5,5,44062.91386325584,46966.989515533336
10_5,2011-05-13,36712.35,USA,10,C,C_5,5,36007.993547099264,40613.184979300786
10_5,2011-05-20,40782.43,USA,10,C,C_5,5,40075.65195786636,34710.16226414514
10_5,2011-05-27,44109.66,USA,10,C,C_5,5,43319.67035509122,39241.71184732439
10_5,2011-06-03,41583.6,USA,10,C,C_5,5,40983.49021830874,58835.9367989219
10_5,2011-06-10,47513.32,USA,10,C,C_5,5,47490.704193559395,39218.92133997819
10_5,2011-06-17,48662.46,USA,10,C,C_5,5,49334.84305048619,46006.63103617755
10_5,2011-06-24,42844.96,USA,10,C,C_5,5,44183.606083867446,39441.51846530748
10_5,2011-07-01,45006.16,USA,10,C,C_5,5,45820.51659343242,44562.403022469356
10_5,2011-07-08,38896.24,USA,10,C,C_5,5,38841.32450956032,39855.921975978476
10_5,2011-07-15,36626.51,USA,10,C,C_5,5,36370.097310196914,39168.12054844425
10_5,2011-07-22,41486.48,USA,10,C,C_5,5,41105.22829875148,37118.75473478953
10_5,2011-07-29,36288.49,USA,10,C,C_5,5,35906.9180763177,41734.69458244939
10_5,2011-08-05,43187.64,USA,10,C,C_5,5,40855.26897616763,40853.731274547325
10_5,2011-08-12,37897.15,USA,10,C,C_5,5,36404.52146385766,37920.715569504835
10_5,2011-08-19,40381.49,USA,10,C,C_5,5,33398.06340177334,35303.754106751
10_5,2011-08-26,37838.57,USA,10,C,C_5,5,38093.498563795576,37744.03760427232
10_5,2011-09-02,33630.17,USA,10,C,C_5,5,36097.651957715454,36840.53573680234
10_5,2011-09-09,38749.03,USA,10,C,C_5,5,36163.69297848693,36573.59543354236
10_5,2011-09-16,48452.46,USA,10,C,C_5,5,43673.22382409124,41325.7241861314
10_5,2011-09-23,47777.08,USA,10,C,C_5,5,45468.74943705868,43446.80822462973
10_5,2011-09-30,41554.29,USA,10,C,C_5,5,60830.6307420713,54308.784223975104
10_5,2011-10-07,57616.25,USA,10,C,C_5,5,44374.851063411494,46384.624118239124
10_5,2011-10-14,53009.89,USA,10,C,C_5,5,51216.28870248959,50223.52022564982
10_5,2011-10-21,64236.97,USA,10,C,C_5,5,47867.12825894504,48772.00606312595
10_5,2011-10-28,62747.68,USA,10,C,C_5,5,50540.755101776725,50230.5958143124
10_5,2011-11-04,63989.84,USA,10,C,C_5,5,83982.42455640924,72753.04335821969
10_5,2011-11-11,78583.89,USA,10,C,C_5,5,68928.45562929715,68345.00648388575
10_5,2011-11-18,67757.19,USA,10,C,C_5,5,76966.76691540181,74220.61929536858
10_5,2011-11-25,207982.28,USA,10,C,C_5,5,189451.61395325142,150665.70461425724
10_5,2011-12-02,72171.56,USA,10,C,C_5,5,109730.33111225591,117321.59556925081
10_5,2011-12-09,103116.73,USA,10,C,C_5,5,126226.49256055334,124231.02796858427
10_5,2011-12-16,112787.47,USA,10,C,C_5,5,161407.42145752843,148640.42248778214
10_5,2011-12-23,177554.72,USA,10,C,C_5,5,197958.73481413326,179188.98771479802
10_5,2011-12-30,67301.64,USA,10,C,C_5,5,-8234.823030965817,51304.986071951105
10_5,2012-01-06,43383.89,USA,10,C,C_5,5,28057.613637892267,45982.447902890766
10_5,2012-01-13,42318.82,USA,10,C,C_5,5,36145.64576877275,42498.25469603001
10_5,2012-01-20,45436.86,USA,10,C,C_5,5,38178.72081910996,40800.7445992569
10_5,2012-01-27,45238.81,USA,10,C,C_5,5,51713.55780753417,50987.353516718744
10_5,2012-02-03,59209.34,USA,10,C,C_5,5,50072.53501879613,70479.16875162745
10_5,2012-02-10,72282.41,USA,10,C,C_5,5,63220.7611600704,68585.88625167195
10_5,2012-02-17,89423.13,USA,10,C,C_5,5,67599.71341742651,65296.42820998221
10_5,2012-02-24,63286.95,USA,10,C,C_5,5,82126.50742300133,75653.4219769862
10_5,2012-03-02,59035.25,USA,10,C,C_5,5,75264.5172592457,75843.41719884831
10_5,2012-03-09,53813.26,USA,10,C,C_5,5,49360.435076416026,62839.79870277154
10_5,2012-03-16,55853.85,USA,10,C,C_5,5,46931.69805498251,51638.33993432532
10_5,2012-03-23,55758.15,USA,10,C,C_5,5,51699.97866344659,64025.42853726891
10_5,2012-03-30,50627.71,USA,10,C,C_5,5,61840.14044225968,59484.837744314646
10_5,2012-04-06,58070.75,USA,10,C,C_5,5,51441.30808610034,48818.32382836226
10_5,2012-04-13,48858.38,USA,10,C,C_5,5,65811.67586005307,52406.427030466235
10_5,2012-04-20,41458.02,USA,10,C,C_5,5,53372.74598487742,58838.035224988664
10_5,2012-04-27,34073.11,USA,10,C,C_5,5,32606.498153057422,42927.714186872596
10_5,2012-05-04,38292.51,USA,10,C,C_5,5,26671.5708710127,35862.84530659635
10_5,2012-05-11,43364.64,USA,10,C,C_5,5,18013.673310115708,28548.56742301076
10_5,2012-05-18,41556.25,USA,10,C,C_5,5,21554.71402729781,29527.101851896674
10_5,2012-05-25,39254.77,USA,10,C,C_5,5,24270.25984032877,32229.69189716359
10_5,2012-06-01,37920.13,USA,10,C,C_5,5,21343.320085405412,37592.52303117695
10_5,2012-06-08,51545.14,USA,10,C,C_5,5,27401.626020652904,36911.853267887425
10_5,2012-06-15,50225.6,USA,10,C,C_5,5,29228.52014305671,38698.57333658219
10_5,2012-06-22,46431.46,USA,10,C,C_5,5,24579.603221683134,31805.270596994724
10_5,2012-06-29,40098.67,USA,10,C,C_5,5,27217.0845129929,34557.320264672664
10_5,2012-07-06,39325.36,USA,10,C,C_5,5,20846.652188180127,28686.802243122496
10_5,2012-07-13,34468.04,USA,10,C,C_5,5,18334.332982760287,27167.53385623207
10_5,2012-07-20,36958.83,USA,10,C,C_5,5,22877.72597606692,29932.589066032124
10_5,2012-07-27,31065.97,USA,10,C,C_5,5,17394.31964688617,27622.198949274458
10_5,2012-08-03,30494.96,USA,10,C,C_5,5,22057.501599106377,32748.126859119966
10_5,2012-08-10,32075.35,USA,10,C,C_5,5,15862.909412911682,27729.805766060814
10_5,2012-08-17,34128.95,USA,10,C,C_5,5,11740.83566656283,28245.017652303177
10_5,2012-08-24,50062.19,USA,10,C,C_5,5,11214.488666451885,26586.564967715643
10_5,2012-08-31,41573.25,USA,10,C,C_5,5,9408.052017937145,23535.98461375477
10_5,2012-09-07,36708.3,USA,10,C,C_5,5,11318.297639742766,27325.927918521942
10_5,2012-09-14,42269.57,USA,10,C,C_5,5,16894.571753483055,34953.63193832965
10_5,2012-09-21,38609.11,USA,10,C,C_5,5,15116.077288294826,33926.86664189648
10_5,2012-09-28,65585.96,USA,10,C,C_5,5,28748.85653656615,33512.36130533103
10_5,2012-10-05,54202.85,USA,10,C,C_5,5,26705.36774923081,43075.19766708747
