Category,intersection,model,date,forecast,actual_sales
4,21_72,es,2010-02-05,,73282.66
1,20_90,es,2010-02-05,,114164.32
3,2_87,es,2010-02-05,,36792.81
4,3_72,es,2010-02-05,,35038.89
2,4_95,es,2010-02-05,,130722.18
2,24_87,es,2010-02-05,,29333.81
7,23_22,es,2010-02-05,,19927.7
2,37_95,es,2010-02-05,,50910.65
7,34_91,es,2010-02-05,,34275.3
5,4_8,es,2010-02-05,,71562.58
4,16_95,es,2010-02-05,,21070.74
6,10_34,es,2010-02-05,,50585.42
5,44_94,es,2010-02-05,,20542.97
3,40_4,es,2010-02-12,,21778.87
5,10_5,es,2010-02-12,,74064.19
5,23_16,es,2010-02-12,,5292.73
5,13_13,es,2010-02-12,,43973.45
4,29_40,es,2010-02-12,,26961.14
1,23_74,es,2010-02-12,,30613.79
6,1_97,es,2010-02-12,,33874.47
4,16_40,es,2010-02-12,,33667.35
3,40_2,es,2010-02-12,,25187.64
1,24_90,es,2010-02-12,,75151.67
7,23_72,es,2010-02-12,,104389.46
6,31_13,es,2010-02-12,,44611.81
5,26_40,es,2010-02-12,,38027.19
6,20_7,es,2010-02-12,,33130.25
4,19_2,es,2010-02-12,,52442.96
3,6_72,es,2010-02-12,,96945.02
2,26_92,es,2010-02-12,,88291.71
1,2_81,es,2010-02-12,,33361.51
5,17_95,es,2010-02-12,,43523.18
3,31_2,es,2010-02-12,,56830.82
1,4_94,es,2010-02-12,,64126.88
7,35_14,es,2010-02-12,,42431.08
5,11_93,es,2010-02-12,,32405.28
3,6_96,es,2010-02-12,,25339.75
7,45_13,es,2010-02-12,,22377.82
5,12_34,es,2010-02-12,,29493.49
1,42_38,es,2010-02-12,,37671.85
1,4_96,es,2010-02-12,,33496.85
5,6_93,es,2010-02-12,,39393.63
7,14_2,es,2010-02-12,,55899.41
7,15_72,es,2010-02-12,,76330.52
1,2_16,es,2010-02-12,,9987.62
1,19_9,es,2010-02-12,,12736.71
3,18_72,es,2010-02-12,,114262.07
7,32_90,es,2010-02-12,,61945.73
4,22_38,es,2010-02-12,,67649.77
3,9_38,es,2010-02-12,,76652.26
3,16_72,es,2010-02-12,,37654.82
5,10_72,es,2010-02-12,,202622.42
1,1_1,es,2010-02-12,,46039.49
3,31_46,es,2010-02-12,,24180.56
3,36_95,es,2010-02-12,,39816.3
2,10_40,es,2010-02-12,,111422.87
3,30_92,es,2010-02-12,,67502.19
6,11_46,es,2010-02-12,,28246.4
7,41_91,es,2010-02-12,,50409.97
3,4_9,es,2010-02-12,,23199.13
5,2_2,es,2010-02-12,,65487.46
2,32_95,es,2010-02-12,,83168.29
4,30_95,es,2010-02-12,,52885.46
7,26_4,es,2010-02-12,,23040.93
5,16_38,es,2010-02-12,,43115.55
4,11_95,es,2010-02-12,,78778.26
4,22_9,es,2010-02-12,,17252.47
7,11_92,es,2010-02-12,,86857.1
6,11_74,es,2010-02-12,,28823.88
2,11_13,es,2010-02-12,,42317.84
3,12_40,es,2010-02-12,,50324.35
5,7_40,es,2010-02-12,,36694.28
7,41_40,es,2010-02-12,,48518.48
7,43_38,es,2010-02-12,,51168.66
2,10_23,es,2010-02-12,,63123.1
5,20_92,es,2010-02-12,,170043.55
5,28_91,es,2010-02-12,,60765.58
6,17_4,es,2010-02-12,,19928.04
2,18_74,es,2010-02-12,,19251.57
3,19_23,es,2010-02-12,,26100.43
5,13_4,es,2010-02-12,,39171.36
7,13_91,es,2010-02-12,,86593.72
7,23_40,es,2010-02-12,,69782.41
7,32_92,es,2010-02-12,,101905.95
1,6_38,es,2010-02-12,,101825.18
3,12_8,es,2010-02-12,,44101.66
1,10_16,es,2010-02-12,,24555.89
7,14_91,es,2010-02-12,,78058.28
7,20_91,es,2010-02-12,,96070.44
7,27_80,es,2010-02-12,,29074.47
4,22_40,es,2010-02-12,,51166.37
1,20_9,es,2010-02-12,,24902.87
3,14_1,es,2010-02-12,,39972.64
2,30_91,es,2010-02-12,,38355.86
7,38_38,es,2010-02-12,,32975.25
1,13_23,es,2010-02-12,,28268.78
5,1_38,es,2010-02-12,,94136.35
2,11_7,es,2010-02-12,,28454.24
3,10_38,es,2010-02-12,,107043.76
5,23_92,es,2010-02-12,,44063.81
7,21_72,es,2010-02-12,,65697.61
5,20_90,es,2010-02-12,,102924.19
1,2_87,es,2010-02-12,,35794.44
1,3_72,es,2010-02-12,,37062.3
5,4_95,es,2010-02-12,,135621.5
7,24_87,es,2010-02-12,,25630.67
5,23_22,es,2010-02-12,,23242.43
7,37_95,es,2010-02-12,,51779.92
7,34_91,es,2010-02-12,,35666.29
4,4_8,es,2010-02-12,,66308.14
3,16_95,es,2010-02-12,,21371.35
3,10_34,es,2010-02-12,,47864.29
2,44_94,es,2010-02-12,,21496.97
7,40_4,es,2010-02-19,,21779.47
3,10_5,es,2010-02-19,,59974.12
4,23_16,es,2010-02-19,,5888.94
2,13_13,es,2010-02-19,,50441.5
3,29_40,es,2010-02-19,,27779.85
4,23_74,es,2010-02-19,,30628.25
5,1_97,es,2010-02-19,,31585.78
2,16_40,es,2010-02-19,,33627.79
3,40_2,es,2010-02-19,,25082.06
6,24_90,es,2010-02-19,,68813.04
1,23_72,es,2010-02-19,,95179.55
7,31_13,es,2010-02-19,,43438.72
1,26_40,es,2010-02-19,,38743.39
1,20_7,es,2010-02-19,,36627.36
1,19_2,es,2010-02-19,,52145.11
7,6_72,es,2010-02-19,,86956.87
1,26_92,es,2010-02-19,,77237.57
6,2_81,es,2010-02-19,,29863.25
7,17_95,es,2010-02-19,,39261.2
1,31_2,es,2010-02-19,,58232.69
6,4_94,es,2010-02-19,,65303.33
6,35_14,es,2010-02-19,,47211.61
4,11_93,es,2010-02-19,,28800.25
7,6_96,es,2010-02-19,,23434.97
2,45_13,es,2010-02-19,,30117.06
3,12_34,es,2010-02-19,,29161.44
2,42_38,es,2010-02-19,,37550
7,4_96,es,2010-02-19,,28787.65
4,6_93,es,2010-02-19,,39083.48
1,14_2,es,2010-02-19,,83031.73
6,15_72,es,2010-02-19,,67301.94
6,2_16,es,2010-02-19,,11495.54
7,19_9,es,2010-02-19,,14887.6
7,18_72,es,2010-02-19,,112679.67
3,32_90,es,2010-02-19,,59754.28
6,22_38,es,2010-02-19,,57065.04
7,9_38,es,2010-02-19,,73690.21
4,16_72,es,2010-02-19,,35696.22
7,10_72,es,2010-02-19,,184982.01
6,1_1,es,2010-02-19,,41595.55
4,31_46,es,2010-02-19,,27171.3
4,36_95,es,2010-02-19,,39992.16
7,10_40,es,2010-02-19,,111314.39
5,30_92,es,2010-02-19,,55925.03
4,11_46,es,2010-02-19,,30611.64
2,41_91,es,2010-02-19,,48524.87
1,4_9,es,2010-02-19,,23622.09
6,2_2,es,2010-02-19,,70853.58
3,32_95,es,2010-02-19,,73601.45
4,30_95,es,2010-02-19,,44857.79
1,26_4,es,2010-02-19,,22375.12
3,16_38,es,2010-02-19,,49663.5
6,11_95,es,2010-02-19,,74510.14
2,22_9,es,2010-02-19,,17847.71
6,11_92,es,2010-02-19,,80379.19
4,11_74,es,2010-02-19,,28928.04
5,11_13,es,2010-02-19,,42856.85
7,12_40,es,2010-02-19,,51774.1
7,7_40,es,2010-02-19,,36532.91
5,41_40,es,2010-02-19,,49926.65
5,43_38,es,2010-02-19,,52487.53
1,10_23,es,2010-02-19,,67510.76
6,20_92,es,2010-02-19,,164314.29
4,28_91,es,2010-02-19,,53829.31
3,17_4,es,2010-02-19,,18594.79
6,18_74,es,2010-02-19,,20764.51
6,19_23,es,2010-02-19,,25698.04
7,13_4,es,2010-02-19,,38877.77
7,13_91,es,2010-02-19,,90037.67
6,23_40,es,2010-02-19,,66990.17
5,32_92,es,2010-02-19,,95023.7
5,6_38,es,2010-02-19,,103021.56
2,12_8,es,2010-02-19,,43092.57
2,10_16,es,2010-02-19,,33321.92
1,14_91,es,2010-02-19,,99812.11
1,20_91,es,2010-02-19,,88301.86
2,27_80,es,2010-02-19,,29689.95
5,22_40,es,2010-02-19,,55734.66
2,20_9,es,2010-02-19,,20358.48
3,14_1,es,2010-02-19,,35163.18
6,30_91,es,2010-02-19,,32836.35
3,38_38,es,2010-02-19,,39096
4,13_23,es,2010-02-19,,26664.29
7,1_38,es,2010-02-19,,98672.59
1,11_7,es,2010-02-19,,27514.86
2,10_38,es,2010-02-19,,92035.9
5,23_92,es,2010-02-19,,43278.5
2,21_72,es,2010-02-19,,63156.21
6,20_90,es,2010-02-19,,96080.26
1,2_87,es,2010-02-19,,31662.95
2,3_72,es,2010-02-19,,30252.66
2,4_95,es,2010-02-19,,125396.47
7,24_87,es,2010-02-19,,22838.88
6,23_22,es,2010-02-19,,22749.7
2,37_95,es,2010-02-19,,47701.8
1,34_91,es,2010-02-19,,33421.43
1,4_8,es,2010-02-19,,67007.65
7,16_95,es,2010-02-19,,20433.76
6,10_34,es,2010-02-19,,55037.66
3,44_94,es,2010-02-19,,21975.18
5,40_4,es,2010-02-26,,20609.53
4,10_5,es,2010-02-26,,56750.43
2,23_16,es,2010-02-26,,6595.26
6,13_13,es,2010-02-26,,47826.51
6,29_40,es,2010-02-26,,26065.39
6,23_74,es,2010-02-26,,30426.63
4,1_97,es,2010-02-26,,28457.31
6,16_40,es,2010-02-26,,33763.57
2,40_2,es,2010-02-26,,24338.23
2,24_90,es,2010-02-26,,61811.89
4,23_72,es,2010-02-26,,81875.05
7,31_13,es,2010-02-26,,42684.62
6,26_40,es,2010-02-26,,35015.57
4,20_7,es,2010-02-26,,26483.03
1,19_2,es,2010-02-26,,49014.17
6,6_72,es,2010-02-26,,78522.57
4,26_92,es,2010-02-26,,71127.2
7,2_81,es,2010-02-26,,29834.16
6,17_95,es,2010-02-26,,40820.05
4,31_2,es,2010-02-26,,56767.26
3,4_94,es,2010-02-26,,58584.93
1,35_14,es,2010-02-26,,32728.78
4,11_93,es,2010-02-26,,25648.84
5,6_96,es,2010-02-26,,23474.78
6,45_13,es,2010-02-26,,29454.72
3,12_34,es,2010-02-26,,25946.87
6,42_38,es,2010-02-26,,36013.75
6,4_96,es,2010-02-26,,26314.44
1,6_93,es,2010-02-26,,34728.96
7,14_2,es,2010-02-26,,78941.75
7,15_72,es,2010-02-26,,52281.05
3,2_16,es,2010-02-26,,12558.37
4,19_9,es,2010-02-26,,12618.37
6,18_72,es,2010-02-26,,84118.68
3,32_90,es,2010-02-26,,60150.19
7,22_38,es,2010-02-26,,56221.39
1,9_38,es,2010-02-26,,68142.15
7,16_72,es,2010-02-26,,34627.14
6,10_72,es,2010-02-26,,186002.43
5,1_1,es,2010-02-26,,19403.54
1,31_46,es,2010-02-26,,25839.06
5,36_95,es,2010-02-26,,37021.27
2,10_40,es,2010-02-26,,112665.97
7,30_92,es,2010-02-26,,60293.6
7,11_46,es,2010-02-26,,26162.8
2,41_91,es,2010-02-26,,49688.56
6,4_9,es,2010-02-26,,22819.83
5,2_2,es,2010-02-26,,64963.9
5,32_95,es,2010-02-26,,77573.15
5,30_95,es,2010-02-26,,48216.18
7,26_4,es,2010-02-26,,20547.32
2,16_38,es,2010-02-26,,48213.68
1,11_95,es,2010-02-26,,71243.49
3,22_9,es,2010-02-26,,14520.94
2,11_92,es,2010-02-26,,72607.99
2,11_74,es,2010-02-26,,31046.81
3,11_13,es,2010-02-26,,41589.51
6,12_40,es,2010-02-26,,54002.66
5,7_40,es,2010-02-26,,37003.74
3,41_40,es,2010-02-26,,49657.77
4,43_38,es,2010-02-26,,59594.72
3,10_23,es,2010-02-26,,65713.39
1,20_92,es,2010-02-26,,147699.66
7,28_91,es,2010-02-26,,58175.01
5,17_4,es,2010-02-26,,20544.25
6,18_74,es,2010-02-26,,20864.68
2,19_23,es,2010-02-26,,21394.1
6,13_4,es,2010-02-26,,37759.08
5,13_91,es,2010-02-26,,81456.01
4,23_40,es,2010-02-26,,63317.57
6,32_92,es,2010-02-26,,98519.93
7,6_38,es,2010-02-26,,99082.28
7,12_8,es,2010-02-26,,43064.61
3,10_16,es,2010-02-26,,27773.67
1,14_91,es,2010-02-26,,110977.72
4,20_91,es,2010-02-26,,79501.24
3,27_80,es,2010-02-26,,23218.74
7,22_40,es,2010-02-26,,50550
6,20_9,es,2010-02-26,,16618.3
2,14_1,es,2010-02-26,,21433.52
3,30_91,es,2010-02-26,,34684.91
2,38_38,es,2010-02-26,,40188.28
6,13_23,es,2010-02-26,,24541.31
1,1_38,es,2010-02-26,,92755.59
7,11_7,es,2010-02-26,,29531.5
2,10_38,es,2010-02-26,,87217.6
4,23_92,es,2010-02-26,,45953.18
5,21_72,es,2010-02-26,,55346.96
7,20_90,es,2010-02-26,,89634.63
2,2_87,es,2010-02-26,,24085.9
3,3_72,es,2010-02-26,,20911.18
6,4_95,es,2010-02-26,,120345.62
6,24_87,es,2010-02-26,,19761.99
6,23_22,es,2010-02-26,,21912.3
5,37_95,es,2010-02-26,,49070.65
6,34_91,es,2010-02-26,,32314.98
3,4_8,es,2010-02-26,,66705.03
7,16_95,es,2010-02-26,,21184.04
2,10_34,es,2010-02-26,,51278.37
2,44_94,es,2010-02-26,,20619.15
1,40_4,es,2010-03-05,,25311.53
4,10_5,es,2010-03-05,,62991.98
3,23_16,es,2010-03-05,,7835.69
4,13_13,es,2010-03-05,,53915.97
3,29_40,es,2010-03-05,,28976.24
7,23_74,es,2010-03-05,,31349.11
5,1_97,es,2010-03-05,,31576.47
4,16_40,es,2010-03-05,,34182.25
7,40_2,es,2010-03-05,,25673.66
6,24_90,es,2010-03-05,,73524.48
6,23_72,es,2010-03-05,,76042.23
2,31_13,es,2010-03-05,,43321.34
5,26_40,es,2010-03-05,,40794.21
6,20_7,es,2010-03-05,,33152.1
6,19_2,es,2010-03-05,,55814.15
1,6_72,es,2010-03-05,,78699.59
5,26_92,es,2010-03-05,,91305.17
3,2_81,es,2010-03-05,,31887.2
3,17_95,es,2010-03-05,,43743.24
2,31_2,es,2010-03-05,,57112.57
7,4_94,es,2010-03-05,,61700.46
2,35_14,es,2010-03-05,,42013.27
7,11_93,es,2010-03-05,,27901.41
1,6_96,es,2010-03-05,,25964.87
6,45_13,es,2010-03-05,,30499.5
2,12_34,es,2010-03-05,,27605.02
6,42_38,es,2010-03-05,,46493.78
3,4_96,es,2010-03-05,,27795.83
4,6_93,es,2010-03-05,,38419.08
5,14_2,es,2010-03-05,,87081.07
7,15_72,es,2010-03-05,,52561.19
6,2_16,es,2010-03-05,,21957.34
1,19_9,es,2010-03-05,,15032.2
5,18_72,es,2010-03-05,,103226.76
3,32_90,es,2010-03-05,,60557.79
5,22_38,es,2010-03-05,,60440.14
5,9_38,es,2010-03-05,,88761.58
3,16_72,es,2010-03-05,,29102.18
4,10_72,es,2010-03-05,,191989.54
7,1_1,es,2010-03-05,,21827.9
6,31_46,es,2010-03-05,,25334.1
4,36_95,es,2010-03-05,,41404.58
4,10_40,es,2010-03-05,,115748.81
1,30_92,es,2010-03-05,,56688.76
1,11_46,es,2010-03-05,,28887.77
1,41_91,es,2010-03-05,,52832.79
3,4_9,es,2010-03-05,,20225.33
2,2_2,es,2010-03-05,,68428.64
4,32_95,es,2010-03-05,,78414.77
6,30_95,es,2010-03-05,,48201.58
2,26_4,es,2010-03-05,,23911.15
6,16_38,es,2010-03-05,,51112.67
1,11_95,es,2010-03-05,,73862.23
6,22_9,es,2010-03-05,,15676.46
2,11_92,es,2010-03-05,,81556.04
3,11_74,es,2010-03-05,,30115.11
7,11_13,es,2010-03-05,,44409.45
2,12_40,es,2010-03-05,,54195.37
5,7_40,es,2010-03-05,,35610.73
3,41_40,es,2010-03-05,,50565.33
6,43_38,es,2010-03-05,,55784.4
2,10_23,es,2010-03-05,,60292.15
4,20_92,es,2010-03-05,,169171.18
6,28_91,es,2010-03-05,,78343.56
3,17_4,es,2010-03-05,,20543.28
2,18_74,es,2010-03-05,,25964.36
2,19_23,es,2010-03-05,,24094.81
3,13_4,es,2010-03-05,,41168.21
3,13_91,es,2010-03-05,,86624.04
5,23_40,es,2010-03-05,,71968.5
7,32_92,es,2010-03-05,,100472.29
2,6_38,es,2010-03-05,,119812.38
1,12_8,es,2010-03-05,,44649.9
2,10_16,es,2010-03-05,,35227.56
1,14_91,es,2010-03-05,,116031.38
2,20_91,es,2010-03-05,,86908.59
2,27_80,es,2010-03-05,,20128.88
2,22_40,es,2010-03-05,,60016.33
2,20_9,es,2010-03-05,,19429.11
7,14_1,es,2010-03-05,,26460.12
3,30_91,es,2010-03-05,,35169.68
5,38_38,es,2010-03-05,,38381.49
7,13_23,es,2010-03-05,,25819
6,1_38,es,2010-03-05,,108282.86
7,11_7,es,2010-03-05,,28283.46
3,10_38,es,2010-03-05,,89068.56
4,23_92,es,2010-03-05,,49416.21
2,21_72,es,2010-03-05,,50898.24
1,20_90,es,2010-03-05,,96401.41
7,2_87,es,2010-03-05,,29758.29
4,3_72,es,2010-03-05,,20625.87
7,4_95,es,2010-03-05,,127927.31
1,24_87,es,2010-03-05,,27789.42
3,23_22,es,2010-03-05,,17705.56
4,37_95,es,2010-03-05,,50092.04
6,34_91,es,2010-03-05,,30503.82
6,4_8,es,2010-03-05,,71817.79
5,16_95,es,2010-03-05,,21517.3
1,10_34,es,2010-03-05,,47582.47
7,44_94,es,2010-03-05,,22988.21
4,40_4,es,2010-03-12,,21921.82
5,10_5,es,2010-03-12,,77866.56
1,23_16,es,2010-03-12,,13358.38
3,13_13,es,2010-03-12,,47166.23
1,29_40,es,2010-03-12,,28317.3
3,23_74,es,2010-03-12,,36318.67
5,1_97,es,2010-03-12,,31197.12
7,16_40,es,2010-03-12,,32460.44
3,40_2,es,2010-03-12,,24345.43
1,24_90,es,2010-03-12,,69360.4
5,23_72,es,2010-03-12,,104909.72
4,31_13,es,2010-03-12,,42558.84
5,26_40,es,2010-03-12,,36544.77
5,20_7,es,2010-03-12,,33205.4
1,19_2,es,2010-03-12,,50823.55
7,6_72,es,2010-03-12,,73425.74
4,26_92,es,2010-03-12,,80604.61
5,2_81,es,2010-03-12,,31610.78
4,17_95,es,2010-03-12,,40253.34
1,31_2,es,2010-03-12,,55363.86
3,4_94,es,2010-03-12,,59686.16
5,35_14,es,2010-03-12,,38764.04
2,11_93,es,2010-03-12,,27581.85
4,6_96,es,2010-03-12,,26602.33
1,45_13,es,2010-03-12,,30721.83
3,12_34,es,2010-03-12,,20962.07
6,42_38,es,2010-03-12,,42847.78
7,4_96,es,2010-03-12,,29815.58
1,6_93,es,2010-03-12,,38534.99
2,14_2,es,2010-03-12,,82983
5,15_72,es,2010-03-12,,45457.17
6,2_16,es,2010-03-12,,25826.56
1,19_9,es,2010-03-12,,15278.77
3,18_72,es,2010-03-12,,85954.35
2,32_90,es,2010-03-12,,60103.03
6,22_38,es,2010-03-12,,65326.4
2,9_38,es,2010-03-12,,79396.39
1,16_72,es,2010-03-12,,29674.98
1,10_72,es,2010-03-12,,154980.2
1,1_1,es,2010-03-12,,21043.39
3,31_46,es,2010-03-12,,25469.85
5,36_95,es,2010-03-12,,39707.81
6,10_40,es,2010-03-12,,110799.47
6,30_92,es,2010-03-12,,56827.95
6,11_46,es,2010-03-12,,25917.03
6,41_91,es,2010-03-12,,49224.45
6,4_9,es,2010-03-12,,22908.47
1,2_2,es,2010-03-12,,66622.03
1,32_95,es,2010-03-12,,81452.35
1,30_95,es,2010-03-12,,49600.58
4,26_4,es,2010-03-12,,21565.09
4,16_38,es,2010-03-12,,54081.75
2,11_95,es,2010-03-12,,76992.46
1,22_9,es,2010-03-12,,21216.06
5,11_92,es,2010-03-12,,76351.79
1,11_74,es,2010-03-12,,23834.94
2,11_13,es,2010-03-12,,39058.4
7,12_40,es,2010-03-12,,49738.83
3,7_40,es,2010-03-12,,34232.39
2,41_40,es,2010-03-12,,47136.96
7,43_38,es,2010-03-12,,51057.11
2,10_23,es,2010-03-12,,60839.76
1,20_92,es,2010-03-12,,161433.3
1,28_91,es,2010-03-12,,57318.28
2,17_4,es,2010-03-12,,18987.08
2,18_74,es,2010-03-12,,23885.19
6,19_23,es,2010-03-12,,25044.7
1,13_4,es,2010-03-12,,37180.08
4,13_91,es,2010-03-12,,83801.27
6,23_40,es,2010-03-12,,68045.45
7,32_92,es,2010-03-12,,97884.01
4,6_38,es,2010-03-12,,98939.77
4,12_8,es,2010-03-12,,42655.79
3,10_16,es,2010-03-12,,34864.4
2,14_91,es,2010-03-12,,107590.14
1,20_91,es,2010-03-12,,87656.02
5,27_80,es,2010-03-12,,29109.34
7,22_40,es,2010-03-12,,52794.94
3,20_9,es,2010-03-12,,22681.91
7,14_1,es,2010-03-12,,32663.77
3,30_91,es,2010-03-12,,33312.9
5,38_38,es,2010-03-12,,35888.75
4,13_23,es,2010-03-12,,25260.82
1,1_38,es,2010-03-12,,98175.35
4,11_7,es,2010-03-12,,27246.04
2,10_38,es,2010-03-12,,84726.34
4,23_92,es,2010-03-12,,43538.94
1,21_72,es,2010-03-12,,47847.4
3,20_90,es,2010-03-12,,91328.76
1,2_87,es,2010-03-12,,23946.24
7,3_72,es,2010-03-12,,16175.51
2,4_95,es,2010-03-12,,127596.11
2,24_87,es,2010-03-12,,22303.35
6,23_22,es,2010-03-12,,24638.06
1,37_95,es,2010-03-12,,50559.31
1,34_91,es,2010-03-12,,32867.98
1,4_8,es,2010-03-12,,63653.75
3,16_95,es,2010-03-12,,22401.7
5,10_34,es,2010-03-12,,44204.37
3,44_94,es,2010-03-12,,22511.53
2,40_4,es,2010-03-19,,21356.97
6,10_5,es,2010-03-19,,65958.62
5,23_16,es,2010-03-19,,15401.41
2,13_13,es,2010-03-19,,44229.72
5,29_40,es,2010-03-19,,25958.64
7,23_74,es,2010-03-19,,29515.91
2,1_97,es,2010-03-19,,31733.15
4,16_40,es,2010-03-19,,36986.62
6,40_2,es,2010-03-19,,23987.48
7,24_90,es,2010-03-19,,62178.07
1,23_72,es,2010-03-19,,58704.8
6,31_13,es,2010-03-19,,40104.38
1,26_40,es,2010-03-19,,33419.33
2,20_7,es,2010-03-19,,37623.52
7,19_2,es,2010-03-19,,46815.76
4,6_72,es,2010-03-19,,71927.91
2,26_92,es,2010-03-19,,70355.46
5,2_81,es,2010-03-19,,32060.11
2,17_95,es,2010-03-19,,41387.61
1,31_2,es,2010-03-19,,54596.56
1,4_94,es,2010-03-19,,63170.86
1,35_14,es,2010-03-19,,39623.81
7,11_93,es,2010-03-19,,28996.36
2,6_96,es,2010-03-19,,33828.78
7,45_13,es,2010-03-19,,27250.43
6,12_34,es,2010-03-19,,25596.46
1,42_38,es,2010-03-19,,44138.54
3,4_96,es,2010-03-19,,30750.04
5,6_93,es,2010-03-19,,42647.84
5,14_2,es,2010-03-19,,80887.4
2,15_72,es,2010-03-19,,41642.94
3,2_16,es,2010-03-19,,45310.9
1,19_9,es,2010-03-19,,18941.04
6,18_72,es,2010-03-19,,65916.7
4,32_90,es,2010-03-19,,61443.85
6,22_38,es,2010-03-19,,59826.02
7,9_38,es,2010-03-19,,73670.7
3,16_72,es,2010-03-19,,28238.85
5,10_72,es,2010-03-19,,136327.27
6,1_1,es,2010-03-19,,22136.64
2,31_46,es,2010-03-19,,24739.31
3,36_95,es,2010-03-19,,41078.26
7,10_40,es,2010-03-19,,107603.92
3,30_92,es,2010-03-19,,52671.3
2,11_46,es,2010-03-19,,27032.45
7,41_91,es,2010-03-19,,47351.03
5,4_9,es,2010-03-19,,25605.16
7,2_2,es,2010-03-19,,64307.01
7,32_95,es,2010-03-19,,82611.18
4,30_95,es,2010-03-19,,48333.06
7,26_4,es,2010-03-19,,21356.44
5,16_38,es,2010-03-19,,44556.46
5,11_95,es,2010-03-19,,79711.33
2,22_9,es,2010-03-19,,20895.42
7,11_92,es,2010-03-19,,74679.8
7,11_74,es,2010-03-19,,24224.31
7,11_13,es,2010-03-19,,39740.77
5,12_40,es,2010-03-19,,49306.91
2,7_40,es,2010-03-19,,41935.48
1,41_40,es,2010-03-19,,49368.97
1,43_38,es,2010-03-19,,55198.07
2,10_23,es,2010-03-19,,63581.08
2,20_92,es,2010-03-19,,148157.28
5,28_91,es,2010-03-19,,51745.72
5,17_4,es,2010-03-19,,18057.73
